id,domain,project,source,url,capability,axos_module,absorption,priority,fit,local,complexity,maturity,license,license_risk,decision,poc,notes
P011,检索索引,sqlite-vec,GitHub,https://github.com/asg017/sqlite-vec,轻量SQLite向量扩展、Windows/WASM/移动端,Lightweight Vector Index Option,LanceDB轻量对照,B1,4,5,2,3,MIT / Apache-2.0,低,对照PoC,10万/100万向量与LanceDB对比,pre-v1需锁版本
P012,检索索引,SQLite-Vector,GitHub,https://github.com/sqliteai/sqlite-vector,SQLite BLOB向量、SIMD和量化,Vector Index Option,仅性能对照,C1,3,5,2,4,Elastic-2.0/商业许可条件,高,不进默认核心,仅基准,分发许可不确定
P013,嵌入模型,Qwen3-Embedding-0.6B,Hugging Face,https://huggingface.co/Qwen/Qwen3-Embedding-0.6B,多语言文本Embedding、长上下文、可调维度,EmbedderProvider,本地常驻文本向量模型,A1,5,5,2,4,Apache-2.0（模型卡复核）,低,首批接入,课程、代码、设计资料、论文四类召回,Embedding必须带版本
P014,重排模型,Qwen3-Reranker-0.6B,Hugging Face,https://huggingface.co/Qwen/Qwen3-Reranker-0.6B,多语言文本重排,RerankerProvider,本地文本重排,A1,5,5,2,4,Apache-2.0（模型卡复核）,低,首批接入,Top50重排，测Recall@5、MRR、nDCG,失败可降级纯召回
P015,多模态检索,Qwen3-VL-Embedding-2B,Hugging Face,https://huggingface.co/Qwen/Qwen3-VL-Embedding-2B,图片、截图、页面、视频帧与文本统一向量,Multimodal EmbedderProvider,按需视觉检索Provider,A2,5,4,4,3,Apache-2.0（模型卡复核）,低,第二批验证,效果图、UI截图、图表、视频帧跨模态检索,与OCR/LLM串行调度
P016,多模态检索,Qwen3-VL-Reranker-2B,Hugging Face,https://huggingface.co/Qwen/Qwen3-VL-Reranker-2B,图文多模态重排,Multimodal RerankerProvider,高价值视觉检索按需重排,B1,4,3,5,3,Apache-2.0（模型卡复核）,低,性能允许后验证,仅重排Top20候选,不能常驻8GB显存
P017,时态记忆,Graphiti,GitHub,https://github.com/getzep/graphiti,时态知识图谱、事实有效时间、Episode、失效关系、混合检索,MemoryFactV1 / Temporal Memory,吸收语义和算法，不整体部署,A2,5,3,5,4,Apache-2.0（需复核）,低,拆解吸收,实现Temporal Fact表及冲突/失效/来源回放,不引入第二事实库
P018,认知记忆,TinyCortex,GitHub,https://github.com/tinyhumansai/tinycortex,Markdown事实源、摄取准入、主动遗忘、新鲜度、Summary Tree、混合检索,MemoryProvider / Cognitive Memory,隔离PoC后拆解吸收或Provider化,A1,5,5,4,3,MIT,低,重点专项,邮件/课程/任务事件的准入、树、衰减、可解释排序,正式知识仍归AXOS事实层
P019,Agent记忆,Mem0,GitHub,https://github.com/mem0ai/mem0,长期记忆抽取、更新、去重和用户命名空间,Memory Algorithm Benchmark,算法与评测对照,B1,4,3,4,4,Apache-2.0（需复核）,低,对照研究,同数据比较更新、去重和忘却,不形成第二事实源
P020,Agent记忆,Letta,GitHub,https://github.com/letta-ai/letta,有状态Agent、内外记忆、生命周期和工具运行,Agent Memory / Runtime Reference,只借鉴内存分层与可编辑状态,C1,3,3,5,4,Apache-2.0（需复核）,低,不整体接入,无,平台边界与AXOS重叠
P021,知识图谱,Cognee,GitHub,https://github.com/topoteretes/cognee,知识摄取、图谱、记忆和检索流水线,Knowledge Graph Benchmark,图谱构建对照,C1,3,3,5,3,逐版本复核,中,观察,无,不引入另一套平台
P022,图增强检索,LightRAG,GitHub,https://github.com/HKUDS/LightRAG,局部/全局图检索、实体关系增强RAG,Retrieval Strategy,借鉴Local/Global Query与增量图,B1,4,4,4,4,MIT（需复核）,低,算法对照,同知识集对比纯向量和时态检索,不取代知识版本与审核
P023,知识推理,OpenSPG / KAG,GitHub,https://github.com/OpenSPG/KAG,Schema约束知识图谱、多跳推理、逻辑语义结合,Schema / Reasoning Reference,借鉴Schema治理与多跳推理,B2,4,3,5,3,Apache-2.0（需复核）,低,后期研究,能源或设计知识域小样,不进最小闭环
P024,RAG平台,RAGFlow,GitHub,https://github.com/infiniflow/ragflow,文档理解、RAG、Agent、知识库和管理UI,End-to-end Benchmark,借鉴流程、引用UX和评测,C1,3,3,5,5,Apache-2.0,低,不整体集成,同语料做结果基准,功能与AXOS重叠
P025,RAG框架,Haystack,GitHub,https://github.com/deepset-ai/haystack,显式Pipeline、组件接口、检索/生成/评测组合,Pipeline Design Reference,借鉴组件接口和可测试Pipeline,B2,4,4,4,5,Apache-2.0,低,架构参考,映射Provider合同,核心抽象归AXOS
P026,知识编译OS,Bob's Big Brain Compiler,GitHub,https://github.com/jeremylongshore/bobs-big-brain-compiler,知识编译、语义文件系统、研究工作区、溯源、矛盾检测、哈希审计链、Eval/Recall,Knowledge Compilation / Audit,重点吸收确定性内核、六层存储、晋升与认知procfs,A1,5,5,4,4,Apache-2.0（当前仓库需复核）,低,重点专项,复现raw→wiki→task→output→recall→audit合同,项目原名Intentional Cognition OS
P027,认知OS参考,NOUS OS,GitHub,https://github.com/jupiturliu/nous-os,Human Intent、可信记忆、事件网格、Outcome Proof、人类权威和闭环评分,Human-AI Learning Loop / Outcome Proof,吸收结果证明、纠错吸收和权威边界,A2,5,4,4,3,逐版本复核,中,架构对标,Run1→人工纠正→Run2并计算四类指标,增强P13 Sleep/Eval
P028,Agent Runtime,PydanticAI,GitHub,https://github.com/pydantic/pydantic-ai,类型化Agent、结构输出、工具验证、模型无关、可观测,AgentExecutorProvider,Python最小闭环默认SDK候选,A1,5,4,3,4,MIT,低,首批验证,KnowledgeWorker+Verifier，全用AXOS合同,生命周期仍归AXOS
P029,Agent Runtime,LangGraph,GitHub,https://github.com/langchain-ai/langgraph,持久状态图、Checkpoint、Interrupt、人工审批、长任务恢复,WorkflowExecutorProvider,仅作可选长任务适配器,B1,4,4,4,5,MIT,低,可选,一条可暂停/恢复任务,Checkpoint不替代事实状态
P030,Agent Runtime,TinyAgents,GitHub,https://github.com/tinyhumansai/tinyagents,Rust类型化Agent、递归模型、Agent-as-tool、Durable Graph、Checkpoint、成本汇总、.rag/.ragsh,Future Rust Agent Runtime,吸收运行合同并隔离对照,A2,5,5,5,3,GPL-3.0,高,重点架构对照,独立进程递归子Agent和恢复，输出AgentRunV1,许可证和API变化大
P031,Workflow,TinyFlows,GitHub,https://github.com/tinyhumansai/tinyflows,类型化工作流、条件/并行/合并、错误路由、重试、审批、恢复和版本迁移,Workflow Schema / Executor Reference,吸收节点合同、审批与恢复,A2,5,5,5,3,GPL-3.0-or-later,高,重点拆解,复刻trigger→agent→verify→approval→artifact,画布仍用React Flow
P032,综合Agent OS参考,OpenHuman,GitHub,https://github.com/tinyhumansai/openhuman,Human-first UX、Memory Tree、SuperContext、分层编排、可见工作流、审批、路由和回放,Cross-cutting Capability Reference,只吸收能力；绝不作为AXOS入口或替代平台,A2,5,4,5,3,GPL-3.0,高,综合拆解样本,逐模块ADR：吸收/不吸收/自研/Sidecar,核心价值来自四个Tiny子项目
P033,综合Agent OS参考,CoWork OS,GitHub,https://github.com/CoWork-OS/CoWork-OS,GUI-first本地Agent OS、Workbench、时间线、审批、Artifact工作台,Workbench / Operator UX Reference,吸收运行可见性、Artifact工作台和Mission Control,B1,4,5,5,4,MIT（需复核）,低,界面对标,拆信息架构和时间线,只作UX/安全治理参考
P034,模型运行,llama.cpp,GitHub,https://github.com/ggml-org/llama.cpp,GGUF本地推理、CPU/GPU混合卸载、OpenAI兼容、Embedding/Rerank、Grammar,LocalModelProvider,Windows本地推理正式底座候选,A1,5,5,3,5,MIT,低,首批接入,4B量化、Embedding/Rerank、结构输出和显存调度,上层只见统一Provider
P035,本地模型,Qwen3.5-4B,Hugging Face,https://huggingface.co/Qwen/Qwen3.5-4B,轻量通用推理和本地知识转化节点,Local Reasoning Model,量化后用于分类、转化和草稿,A2,4,5,3,3,Apache-2.0（模型卡复核）,低,第二批验证,知识抽取、分类、摘要、结构JSON并比较云模型,高风险判断升级云模型
P036,模型路由,LiteLLM,GitHub,https://github.com/BerriAI/litellm,多模型统一接口、路由、预算、重试、降级和代理,ModelProvider Adapter,薄适配层或实现参考,A2,4,4,3,5,MIT（核心仓库需复核）,低,可选接入,GPT/DeepSeek/Kimi/llama.cpp统一路由,策略仍归AXOS
P037,上下文压缩,TinyJuice,GitHub,https://github.com/tinyhumansai/tinyjuice,日志/JSON/Diff/代码/搜索结果压缩及CCR可恢复原文,CompressedArtifactV1 / Context Pack,先Sidecar验证，再自研兼容合同,A1,5,5,3,3,GPL-3.0,高,重点专项,Codex日志、Git diff、测试失败、Docker日志，验证恢复,有损压缩必须有recovery_token
P038,Agent框架,AutoGen,GitHub,https://github.com/microsoft/autogen,多Agent会话、工具与群聊编排,Legacy Framework Reference,不作为新核心依赖,D1,2,3,4,4,MIT,低,排除,无,路线不适合AXOS核心
P039,可观测性,OpenTelemetry,GitHub,https://github.com/open-telemetry/opentelemetry-specification,统一Trace、Span、Metric、Log和跨服务上下文,Audit / Trace Backbone,正式采用标准,A1,5,5,3,5,Apache-2.0,低,首批设计,贯通HumanIntent→Context→Agent→Tool→Artifact→Eval,最终事实写AXOS Audit
P040,AI可观测性,OpenInference,GitHub,https://github.com/Arize-ai/openinference,LLM、Embedding、Retriever、Tool、Agent的OTel语义,AgentRun Telemetry,直接采用语义并映射AXOS合同,A1,5,5,2,4,Apache-2.0,低,首批设计,统一PydanticAI/本地模型/检索/工具Span,不绑定观测后端
P041,Agent评测,DeepEval,GitHub,https://github.com/confident-ai/deepeval,LLM/Agent单测、任务完成、工具调用、结构输出和回归,EvalProvider,Agent和输出回归组件,A1,5,4,3,4,Apache-2.0（需复核）,低,首批验证,20个稳定任务用例及CI,Judge需版本化和人工抽检
P042,RAG评测,Ragas,GitHub,https://github.com/explodinggradients/ragas,上下文相关性、忠实度、回答与检索质量,Retrieval Eval,建立检索和回答基线,A1,5,4,3,5,Apache-2.0（需复核）,低,首批验证,文本/多模态/时态三套集,结合离线标注指标
P043,安全评测,Promptfoo,GitHub,https://github.com/promptfoo/promptfoo,提示词/模型对比、注入、越权、PII、红队和回归,Security Eval / Model Matrix,安全及多模型路由测试,A1,5,4,3,5,MIT（需复核）,低,首批验证,网页污染、越权、路径逃逸、泄露、降级,每次Provider和Skill升级后运行
P044,模型评测,Inspect AI,GitHub,https://github.com/UKGovernmentBEIS/inspect_ai,正式Eval Suite、任务/模型/评分器和可复现实验,Periodic Model Evaluation,周期性能力评估和升级验收,A2,4,4,4,4,MIT（需复核）,低,第二批接入,本地模型/DeepSeek/Kimi/GPT统一任务集,不替代轻量CI
P045,安全研究,Self-State Attacks on Self-Hosted AI Agents,论文,https://arxiv.org/abs/2607.17986,Agent配置/记忆/状态文件被合法系统调用篡改的威胁与防御,Self-State Security / Backup / Integrity,转化为威胁模型和回归矩阵,A1,5,5,3,3,研究论文,低,立即吸收,配置、策略、记忆、Audit四层攻击/恢复测试,访问控制+检测+备份+哈希链
P046,学习调度,Py-FSRS,GitHub,https://github.com/open-spaced-repetition/py-fsrs,间隔重复排程和复习计划,LearningSchedulerProvider,直接接入Human Learning OS,A1,5,5,2,5,MIT,低,首批接入,知识单元、错题和复习事件全链路,FSRS只负责调度
P047,学习建模,pyKT,GitHub,https://github.com/pykt-team/pykt-toolkit,知识追踪模型和学习者状态估计,Knowledge Tracing Research,后期离线研究,C1,3,4,5,3,MIT（需复核）,低,后期研究,数据量足够后再做,当前先透明规则
P048,交互实验,marimo,GitHub,https://github.com/marimo-team/marimo,响应式Python Notebook、纯文件、无隐藏状态、可测试、可部署,Interactive Simulation Lab,P08实验和可视化执行环境,A1,5,5,3,5,Apache-2.0（需复核）,低,首批验证,数学/数据/知识图谱三类互动课程,实验必须可复现
P049,互动学习,H5P,GitHub,https://github.com/h5p/h5p-php-library,互动视频、分支场景、测验、演示和浏览器内容,LearningArtifactProvider,导出/嵌入格式,B1,4,4,4,5,MIT（核心库需复核）,低,第二阶段,一门课程导出互动视频和分支测验,学习证据写回AXOS
P050,可视化工作台,React Flow / XYFlow,GitHub,https://github.com/xyflow/xyflow,节点图、工作流、知识图谱、任务链和交互画布,Human Console / Workbench,观心统一图形基础,A1,5,5,3,5,MIT,低,首批前端设计,Knowledge/AgentRun/Learning/Research四视图复用合同,避免重复造图组件
P051,插件UI,MCP Apps,GitHub,https://github.com/modelcontextprotocol/ext-apps,MCP工具返回表单、图表、仪表盘等交互UI,WorkbenchPanelProvider / Plugin UI,插件面板协议参考/兼容层,A2,5,4,4,3,逐版本复核,低-中,第二批验证,知识审核面板和Agent审批面板,UI不能直接写事实库
P052,MCP协议,MCP Python SDK,GitHub,https://github.com/modelcontextprotocol/python-sdk,MCP Server/Client、Tool/Resource/Prompt协议,External Capability Boundary,锁定稳定主版本作为工具边界,A2,5,4,3,4,MIT（需复核）,低,协议接入,文件/GitHub/知识审核三类Server,升级必须做兼容测试
P053,画布,tldraw,GitHub,https://github.com/tldraw/tldraw,无限画布、协作图形编辑和白板,Optional Whiteboard,视觉能力对照,C1,3,4,4,5,生产SDK商业条款需复核,高,不作核心画布,无,核心优先React Flow
P054,OS Agent研究,AOHP,论文 + GitHub,https://arxiv.org/abs/2606.23449,Agent作为OS一级参与者、服务组合、Agent接口和安全信息流,Long-term OS Architecture Research,吸收Agent身份、资源治理和信息流,B1,4,3,5,2,论文/代码分别复核,中,研究观察,形成Agent Identity/Capability/ResourceQuota ADR,Android/AOSP不可直接搬Windows
P055,可信OS Agent,VeriOS,论文 + GitHub,https://github.com/Wuzheng02/VeriOS,不可信情境下主动询问人类、避免过度执行,Human Query / Risk Gating,吸收何时询问人的策略和测试集,A2,5,4,4,2,仓库需复核,中,安全研究,正常/不可信双场景，测过度执行率,增强Human Authority Boundary
P056,Agent进程模型,Quine,论文 + GitHub,https://arxiv.org/abs/2603.18030,Agent映射为原生进程，利用生命周期、隔离、标准流和递归委派,Process Runtime Research,借鉴进程身份、退出码、标准流和资源隔离,B2,4,3,4,2,论文/代码需复核,中,架构研究,映射Windows Job Object/Named Pipe/Process Token,POSIX实现不可照搬
P057,执行层参考,Hermes Agent,GitHub,https://github.com/NousResearch/hermes-agent,现有Human指令后的Agent编排、记忆、子Agent、渠道和工具执行,External Execution Runtime,保留现有执行角色，强化Bridge、合同、Trace和回写,A1,5,4,4,4,MIT（需复核）,低,现有主执行器,HumanIntentV1→TaskPack→Hermes→Artifact/Trace,AXOS负责授权、状态和知识晋升
