project_id,name,category,recommended_target,absorption_mode,status,risk_policy,note
osp_0066,radare2/radare2,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"逆向分析"
osp_0067,rizinorg/rizin,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"逆向分析"
osp_0068,avast/retdec,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"反编译"
osp_0069,lief-project/LIEF,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"二进制分析"
osp_0070,angr/angr,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"程序分析"
osp_0071,capstone-engine/capstone,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"反汇编"
osp_0072,unicorn-engine/unicorn,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"CPU模拟"
osp_0073,keystone-engine/keystone,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"汇编引擎"
osp_0074,frida/frida,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"动态插桩"
osp_0075,x64dbg/x64dbg,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"Windows调试"
osp_0076,pwndbg/pwndbg,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"GDB增强"
osp_0077,Gallopsled/pwntools,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"CTF/安全研究"
osp_0078,AFLplusplus/AFLplusplus,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"Fuzzing"
osp_0079,google/syzkaller,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"内核Fuzzing"
osp_0080,wireshark/wireshark,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"协议分析"
osp_0081,mitmproxy/mitmproxy,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"代理调试"
osp_0082,zaproxy/zaproxy,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"Web安全测试"
osp_0083,sqlmapproject/sqlmap,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"SQL注入测试研究"
osp_0084,volatilityfoundation/volatility3,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"内存取证"
osp_0085,VirusTotal/yara,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"规则匹配"
osp_0086,qemu/qemu,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"虚拟化/仿真"
osp_0087,mobsf/Mobile-Security-Framework-MobSF,Security Research,IR安全研究库,只收集/不自动执行,candidate,must_review_before_use,"移动安全分析"
osp_0088,datalab-to/marker,Document Parsing,IR/KB,Adapter,candidate,standard_review,"PDF/图像/PPTX/DOCX → Markdown + JSON，支持公式/表格/代码块，比 MarkItDown 更擅长科学文献"
osp_0089,opendatalab/MinerU,Document Parsing,IR/KB,Adapter,candidate,standard_review,"高质量 PDF/图像/DOCX/PPTX 解析，输出 Markdown/JSON，支持复杂排版和表格"
osp_0090,PaddlePaddle/PaddleOCR,OCR / Document Intelligence,IR/KB,Adapter,candidate,standard_review,"100+ 语言 OCR 工具包，70k+ stars，Dify/RAGFlow 底层依赖，支持 PDF/图片 → 结构化 JSON/Markdown"
osp_0091,asg017/sqlite-vec,Vector Search,KB,Adapter,candidate,standard_review,"SQLite 原生向量搜索扩展，纯 C 实现零依赖，虚拟表 vec0 支持 ANN 搜索，与 FTS5 共存"
osp_0092,sqliteai/sqlite-vector,Vector Search,KB,Adapter候选,candidate,standard_review,"跨平台 SQLite 向量扩展，量化 + SIMD 加速 + 低内存，适合嵌入式场景"
osp_0094,topoteretes/cognee,AI Memory Platform,Cognitive-OS,候选Adapter,candidate,must_review_before_use,"统一图+向量搜索的 AI 记忆平台，支持本体扎根、多模态摄取、持久化学习 Agent"
osp_0096,mendableai/firecrawl,Crawler / API,IR,Adapter候选,candidate,standard_review,"AI-first 网页抓取，URL→Markdown，67% Token 节省 vs HTML，支持结构化提取+浏览器交互"
osp_0097,browser-use/browser-use,Browser Agent,IR,只参考,candidate,must_review_before_use,"AI 驱动的浏览器自动化 Agent，让 LLM 操作真实网页（登录/点击/翻页/提取）"
osp_0098,Cinnamon/kotaemon,RAG / Document Intelligence,KB,参考/Adapter,candidate,standard_review,"开源 RAG 文档 QA 工具，简洁 UI，支持多种 LLM（含本地 ollama），适合 KB 前端原型"
osp_0099,Delgan/loguru,Dev Tool,Cognitive-OS,直接可用,candidate,standard_review,"简化 Python 日志的第三方库，15k+ stars，一行代码替换标准 logging"
osp_0100,hynek/structlog,Dev Tool,Cognitive-OS,直接可用,candidate,standard_review,"结构化日志框架，输出 JSON/Key-Value，适合生产环境追踪"
osp_0101,davidrothlis/declarative-schema-migration,Dev Tool,Cognitive-OS,参考,candidate,standard_review,"声明式 SQLite Schema 迁移模式：schema.sql 为单一真相源，自动 diff 并迁移"
osp_0102,PrefectHQ/prefect,Workflow Orchestration,B线,只参考,candidate,standard_review,"Python 原生工作流编排，轻量替代 Airflow，中文友好"
osp_0103,CodeGraphContext/CodeGraphContext,Dev Tool,Cognitive-OS,参考,candidate,standard_review,"MCP Server + CLI，将本地代码索引到图数据库，为 AI 助手提供代码上下文"
